id,knowledge,year,sextontjugofyra,tjugofemtrettiofyra,trettiofemfyrtiofyra,fyrtiofemfemtiofyra,femtiofemsextiofyra,sextiofemsjutiofyra
1,Har flyttat filer mellan datorer eller andra enheter,2017,69,72,62,50,34,26
2,Har installerat programvara eller appar,2017,85,90,84,84,56,41
3,Har ändrat inställningarna i någon programvara (inkl. operativsystem eller säkerhetsprogram),2017,50,51,50,42,23,20
4,Har kopierat eller flyttat filer mellan mappar,2017,76,77,72,66,42,34
5,Har använt ordbehandlingsprogram (t.ex. Word),2017,76,82,77,75,62,45
6,"Har skapat presentationer eller dokument med bilder, tabeller eller diagram",2017,70,59,59,56,27,17
7,Har använt kalkylprogram (t.ex. Excel),2017,51,57,70,60,36,26
8,Har använt kalkylprogrammets avancerade funktioner för att strukturera eller analysera data,2017,31,34,35,37,18,9
9,"Har använt programvara för att redigera bilder, video eller ljudfiler",2017,65,65,56,44,30,21
10,Har skrivit kod i något programmeringsspråk,2017,21,14,17,10,3,3